GameID,qtr,down,SideofField,yrdln,yrdline100,posteam,DefensiveTeam,desc,Yards.Gained,Touchdown,PlayType,Passer,PassAttempt,PassOutcome,PassLength,Rusher,RushAttempt,Receiver,Reception,Pos_RB_Rush,Pos_RB_Rec,Pos_WR_Rec,Pos_TE_Rec,Pos_QB_Rush,Pos_WR_Rush,NewPos
2015101102,4,1.0,SEA,20.0,20.0,CIN,SEA,(1:00) (Shotgun) G.Bernard right guard to SEA 14 for 6 yards (K.Chancellor).,6,0,Run,,0,,,G.Bernard,1,,0,RB,,,,,,RB
2015101102,4,2.0,SEA,14.0,14.0,CIN,SEA,(:30) (Shotgun) A.Dalton pass incomplete short right to M.Jones.,0,0,Pass,A.Dalton,1,Incomplete Pass,Short,,0,M.Jones,0,,RB,WR,,,,WR
2015101102,4,3.0,SEA,14.0,14.0,CIN,SEA,(:24) (Shotgun) A.Dalton scrambles up the middle to SEA 13 for 1 yard (B.Irvin).,1,0,Run,,0,,,A.Dalton,1,,0,,,,,QB,,QB
2015101103,1,1.0,ATL,19.0,19.0,WAS,ATL,(:42) (Shotgun) A.Morris right end to ATL 15 for 4 yards (P.Adams).,4,0,Run,,0,,,A.Morris,1,,0,RB,,,,,,RB
2015101103,2,2.0,ATL,15.0,15.0,WAS,ATL,(15:00) A.Morris right guard to ATL 13 for 2 yards (P.Worrilow).,2,0,Run,,0,,,A.Morris,1,,0,RB,,,,,,RB
2015101103,2,3.0,ATL,13.0,13.0,WAS,ATL,(14:20) (Shotgun) K.Cousins pass short right to C.Thompson to ATL 10 for 3 yards (N.Stupar).,3,0,Pass,K.Cousins,1,Complete,Short,,0,C.Thompson,1,,RB,,,,,RB
2015101103,2,4.0,ATL,10.0,10.0,WAS,ATL,(13:33) K.Cousins right guard to ATL 9 for 1 yard (V.Beasley).,1,0,Run,,0,,,K.Cousins,1,,0,,,,,QB,,QB
2015101103,2,1.0,ATL,9.0,9.0,WAS,ATL,(13:01) (Shotgun) A.Morris left guard to ATL 7 for 2 yards (O.Schofield).,2,0,Run,,0,,,A.Morris,1,,0,RB,,,,,,RB
2015101103,2,2.0,ATL,7.0,7.0,WAS,ATL,(12:23) (Shotgun) K.Cousins pass incomplete short middle to P.Garcon.,0,0,Pass,K.Cousins,1,Incomplete Pass,Short,,0,P.Garcon,0,,,WR,,,,WR
2015101103,2,3.0,ATL,7.0,7.0,WAS,ATL,"(12:18) (Shotgun) K.Cousins pass short middle to D.Carrier for 7 yards, TOUCHDOWN.",7,1,Pass,K.Cousins,1,Complete,Short,,0,D.Carrier,1,,,WR,TE,,,TE
